country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,trade_barriers,diversification,specialization
Australia,0.00103009607453383,0.0010112618094707817,0.0010102341623540233,0.0010364102204684453,1.8624519275482851,-2.588455123023052,4.450907050571337
Austria,0.0004242076005109844,0.0007162373811331203,0.000644143615087592,0.0010586236903476693,-40.77276449326499,-57.8690928703485,17.096328377083506
Belgium and Luxembourg,0.000988188421555823,0.0019837251536153947,0.00083253091487662,0.0030697681946017484,-50.185214934900536,-112.7795993133273,62.59438437842675
Canada,0.0005932078974496689,0.0014570265856576402,0.0008948411640145059,0.002134896654493803,-59.28640538965046,-85.10863855786054,25.822233168210083
China,0.006316488997397007,0.006309203807668954,0.007252106204433788,0.007280351496465433,0.11546924065439766,-0.4476839375090781,0.5631531781634758
Colombia,0.0011693924352386908,0.0014864207465070628,0.0017933494077889943,0.00225352756318212,-21.32830236750639,-30.95880870032912,9.63050633282273
Denmark,0.0006089835956592369,0.0017361296074759412,0.0003374423617761296,0.0011529225207340408,-64.92291859796094,-46.9711567296805,-17.951761868280443
Finland,0.0007158497203008577,0.0009685359397089034,0.000891951132783416,0.0014811426331016713,-26.08950365682779,-60.833209813085375,34.74370615625759
France,0.00030325528187577586,0.0003607961940958834,0.00025251804323616207,0.0002340323196655159,-15.948314633500747,5.12359162129451,-21.071906254795255
Germany,0.00034692357233339987,0.0004766915145926098,0.00026485821218491355,0.0003959546233540777,-27.222624755574312,-27.50130999944519,0.2786852438708784
Greece,0.00032497740856714437,0.00035245093819121143,0.0004394640117469255,0.0004683491445723347,-7.794994039471716,-8.195504592397604,0.40051055292589066
India,0.0011142940479843043,0.0012474916749046366,0.000996287006435503,0.0011245922588797072,-10.677235736303771,-10.285058812437557,-0.3921769238662133
Ireland,0.0011064933675082604,0.002862289496724992,0.002088406175897681,0.0038405191021401125,-61.3423670535667,-61.21368674437665,-0.12868030919005236
Italy,0.0002756136146785076,0.00032579081612355774,0.0001478500795040989,0.00013576699543273188,-15.401662343367036,3.7088473564535533,-19.11050969982059
Japan,0.0003605135126927992,0.00036148520597837936,0.00022295783271387385,0.00021429866599818534,-0.2688058237266473,2.395441520836794,-2.6642473445634414
Mexico,0.0010622524034396572,0.002191999731321563,0.00434913165826187,0.006415791316761148,-51.53957419514727,-94.28193028350798,42.74235608836072
Netherlands,0.0004487757837890158,0.0008299211509110226,0.0006344297015329305,0.0017522823946956316,-45.92549144019467,-134.69384313625577,88.76835169606109
Norway,0.0009584384746231964,0.0014127164963377691,0.001876908157200153,0.0029339113224291467,-32.15634721419424,-74.82061460803335,42.6642673938391
Portugal,0.0014601269697023093,0.0014858852624217767,0.001769329707207532,0.002246078414024568,-1.733531745074662,-32.08516289070699,30.351631145632325
ROW,0.0017710637550137232,0.0017552515226702788,0.00227278514748259,0.0023136101324117263,0.9008527917064072,-2.325876628041818,3.2267294197482252
South Korea,0.0009014596555005605,0.0009793575452323856,0.0007190141265010917,0.0008856972177870297,-7.953978617006648,-17.019636198992753,9.065657581986107
Spain,0.000324433671898532,0.0006925317315399136,0.0002770852628316155,0.00045192495521502023,-53.1525189211011,-25.2464521726147,-27.906066748486406
Sweden,0.0004114884190541868,0.0006287494954212618,0.00042923711933279116,0.0006600862754227693,-34.554473275801236,-36.71560100979633,2.1611277339950963
United Kingdom,0.00029971072959796555,0.0005203321065959395,0.000219735349275297,0.0003598906869526167,-42.40010835412392,-26.935746593503296,-15.464361760620626
United States,0.00034995435569280407,0.00035303616686495294,0.00030879965206977844,0.0003035742211160033,-0.8729448882011438,1.4801404060604435,-2.353085294261587
